# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [rrslvq] RSLVQ
# [rslvq] RSLVQ
# [adf] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [oza] OzaBaggingAdwin(base_estimator=KNN(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# [samknn] SAMKNN(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# [hat] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=200000, max_time=inf, metrics=['accuracy', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='Mixed Generator_Mixed Generator_1000_100.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[rrslvq],current_acc_[rrslvq],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],mean_acc_[hat],current_acc_[hat],mean_kappa_[rrslvq],current_kappa_[rrslvq],mean_kappa_[rslvq],current_kappa_[rslvq],mean_kappa_[adf],current_kappa_[adf],mean_kappa_[oza],current_kappa_[oza],mean_kappa_[samknn],current_kappa_[samknn],mean_kappa_[hat],current_kappa_[hat],training_time_[rrslvq],testing_time_[rrslvq],total_running_time_[rrslvq],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],model_size_[rrslvq],model_size_[rslvq],model_size_[adf],model_size_[oza],model_size_[samknn],model_size_[hat]
200,0.200000,0.200000,0.900000,0.900000,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.700000,0.700000,-0.600000,-0.600000,0.800000,0.800000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.400000,0.400000,0.054718,0.000251,0.054969,0.052698,0.002206,0.054904,0.763715,0.003960,0.767675,0.063389,0.000611,0.064000,0.024911,0.000440,0.025352,0.025537,0.000571,0.026108,38.736328,2.581055,570.862305,628.117188,977447.659180,17.398438
390,0.485000,0.485000,0.755000,0.755000,0.955000,0.955000,0.915000,0.915000,0.970000,0.970000,0.865000,0.865000,-0.015779,-0.015779,0.511952,0.511952,0.909639,0.909639,0.830170,0.830170,0.939850,0.939850,0.728097,0.728097,0.207130,0.004669,0.211800,0.107193,0.024845,0.132038,1.412150,0.073584,1.485733,0.185748,0.067477,0.253225,0.073207,0.007885,0.081092,0.051938,0.009937,0.061875,38.845703,2.581055,769.139648,1166.968750,977518.565430,17.937500
590,0.500000,0.515000,0.747500,0.740000,0.940000,0.925000,0.945000,0.975000,0.972500,0.975000,0.872500,0.880000,0.020688,0.057887,0.496310,0.480000,0.879333,0.848912,0.889677,0.949556,0.944713,0.949556,0.742489,0.756888,0.372700,0.009580,0.382280,0.165879,0.050589,0.216468,2.100101,0.149852,2.249954,0.349052,0.161618,0.510670,0.143544,0.016784,0.160328,0.081091,0.019719,0.100810,38.845703,2.581055,892.135742,1762.546875,977593.084961,17.937500
790,0.500000,0.500000,0.768333,0.810000,0.935000,0.925000,0.948333,0.955000,0.968333,0.960000,0.883333,0.905000,0.022164,0.025246,0.538001,0.621325,0.869157,0.848729,0.896136,0.909109,0.936284,0.919379,0.764468,0.808390,0.699327,0.019902,0.719228,0.288935,0.100206,0.389140,3.419672,0.321479,3.741151,0.707244,0.385466,1.092710,0.376647,0.048972,0.425620,0.145211,0.039095,0.184306,38.845703,2.581055,1029.932617,2202.027344,977634.893555,18.421875
990,0.540000,0.660000,0.775000,0.795000,0.937500,0.945000,0.956250,0.980000,0.972500,0.985000,0.891250,0.915000,0.095201,0.322709,0.551614,0.591796,0.874397,0.889868,0.912118,0.959904,0.944735,0.969940,0.780757,0.829249,1.152536,0.031911,1.184447,0.459102,0.168624,0.627726,5.567835,0.570975,6.138811,1.274452,0.746604,2.021056,0.711776,0.164332,0.876108,0.217741,0.068737,0.286478,33.771484,2.581055,1185.858398,2606.714844,977718.795898,18.421875
1190,0.585000,0.765000,0.767000,0.735000,0.932000,0.910000,0.956000,0.955000,0.971000,0.965000,0.892000,0.895000,0.180619,0.531125,0.535805,0.471901,0.863514,0.819946,0.911666,0.909838,0.941774,0.929916,0.782568,0.789495,1.699977,0.046630,1.746606,0.707997,0.259311,0.967308,8.040039,0.853771,8.893810,2.002605,1.221160,3.223765,1.150727,0.328855,1.479582,0.325258,0.108412,0.433670,36.251953,2.581055,1322.155273,2851.687500,977807.541992,18.421875
1390,0.618333,0.785000,0.765833,0.760000,0.933333,0.940000,0.960000,0.980000,0.970833,0.970000,0.895833,0.915000,0.246080,0.574257,0.533754,0.523052,0.866194,0.879615,0.919730,0.959936,0.941475,0.939952,0.790403,0.829386,1.902146,0.053652,1.955798,0.799090,0.296552,1.095642,9.129733,0.976441,10.106173,2.351845,1.448218,3.800063,1.358253,0.407967,1.766220,0.366050,0.121725,0.487775,37.099609,2.581055,1437.541992,2869.093750,977890.448242,18.906250
1590,0.635000,0.735000,0.771429,0.805000,0.932857,0.930000,0.962857,0.980000,0.972857,0.985000,0.897143,0.905000,0.279745,0.477833,0.544815,0.611167,0.865266,0.859705,0.925508,0.959988,0.945563,0.969982,0.793137,0.809428,2.103037,0.059459,2.162496,0.872133,0.327125,1.199258,10.055232,1.076138,11.131369,2.665008,1.644888,4.309897,1.562401,0.489770,2.052170,0.404436,0.134029,0.538464,39.357422,2.581055,1553.315430,2884.156250,977978.870117,18.906250
1790,0.650625,0.760000,0.771875,0.775000,0.936250,0.960000,0.963125,0.965000,0.973125,0.975000,0.896250,0.890000,0.310596,0.524376,0.545616,0.550988,0.872169,0.920032,0.926080,0.929986,0.946126,0.949990,0.791468,0.779647,2.310135,0.065804,2.375939,0.948285,0.360912,1.309197,11.052518,1.183242,12.235759,2.997568,1.859037,4.856605,1.798420,0.590747,2.389167,0.444861,0.147477,0.592338,39.357422,2.581055,1634.936523,2868.652344,978065.713867,18.906250
1990,0.666667,0.795000,0.770000,0.755000,0.936667,0.940000,0.965556,0.985000,0.973333,0.975000,0.895556,0.890000,0.340188,0.588271,0.541439,0.509411,0.873111,0.879892,0.931001,0.969982,0.946586,0.949940,0.790299,0.780461,2.474195,0.071836,2.546032,1.021269,0.392613,1.413883,11.958288,1.284828,13.243116,3.319204,2.062002,5.381207,2.047902,0.694629,2.742531,0.486384,0.160698,0.647082,35.458984,2.581055,1746.999023,2867.750000,978151.100586,18.906250
