# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 - 
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7f1e65649710> - n_estimators: 10
# [samknn] avg. STMSize nan LTMSize nan; num correct STM 0 LTM 0 CM 0 ; num correct 0/0

# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'running_time']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[arslvq],testing_time_[arslvq],total_running_time_[arslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
200,0.700000,0.700000,0.400000,0.400000,0.600000,0.600000,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.014393,0.000365,0.014758,0.114562,0.001651,0.116213,0.107407,0.000302,0.107709,0.607352,0.002297,0.609649,0.022864,0.000690,0.023554,0.020645,0.000279,0.020924
390,0.865000,0.865000,0.650000,0.650000,0.630000,0.630000,0.940000,0.940000,0.880000,0.880000,0.970000,0.970000,0.033292,0.006741,0.040032,0.226261,0.023479,0.249740,0.257695,0.005896,0.263591,1.074925,0.052087,1.127012,0.109681,0.044111,0.153792,0.057011,0.005755,0.062766
590,0.870000,0.875000,0.627500,0.605000,0.612500,0.595000,0.927500,0.915000,0.927500,0.975000,0.972500,0.975000,0.053342,0.013442,0.066784,0.343569,0.046224,0.389793,0.455255,0.011953,0.467208,1.586668,0.104414,1.691081,0.219837,0.103152,0.322989,0.108061,0.011818,0.119879
790,0.881667,0.905000,0.621667,0.610000,0.655000,0.740000,0.933333,0.945000,0.938333,0.960000,0.968333,0.960000,0.074120,0.020203,0.094323,0.461112,0.068926,0.530039,0.652994,0.017889,0.670883,2.113271,0.156042,2.269313,0.340711,0.176440,0.517151,0.196064,0.022210,0.218274
990,0.890000,0.915000,0.631250,0.660000,0.652500,0.645000,0.942500,0.970000,0.947500,0.975000,0.972500,0.985000,0.094472,0.027037,0.121509,0.578403,0.092044,0.670447,0.850789,0.023828,0.874617,2.657897,0.208575,2.866472,0.480645,0.264966,0.745610,0.291370,0.051699,0.343069
1190,0.891000,0.895000,0.627000,0.610000,0.662000,0.700000,0.942000,0.940000,0.950000,0.960000,0.971000,0.965000,0.115240,0.033708,0.148948,0.695946,0.114867,0.810813,1.048325,0.029721,1.078045,3.185844,0.260137,3.445981,0.641990,0.368960,1.010949,0.390199,0.087816,0.478015
1390,0.895000,0.915000,0.628333,0.635000,0.680833,0.775000,0.944167,0.955000,0.953333,0.970000,0.970833,0.970000,0.135944,0.040445,0.176390,0.813519,0.137743,0.951262,1.246479,0.035624,1.282103,3.699288,0.311399,4.010688,0.816880,0.488615,1.305495,0.504460,0.129987,0.634447
1590,0.896429,0.905000,0.625000,0.605000,0.692143,0.760000,0.942857,0.935000,0.957857,0.985000,0.972857,0.985000,0.157149,0.047105,0.204254,0.931147,0.160502,1.091649,1.444738,0.041630,1.486368,4.202787,0.363078,4.565865,1.001272,0.608898,1.610170,0.628745,0.178796,0.807542
1790,0.895625,0.890000,0.628750,0.655000,0.704375,0.790000,0.943750,0.950000,0.958750,0.965000,0.973125,0.975000,0.177742,0.053788,0.231530,1.047646,0.183405,1.231050,1.642026,0.047580,1.689606,4.721525,0.413817,5.135342,1.186165,0.728731,1.914896,0.762393,0.233844,0.996237
1990,0.895000,0.890000,0.626667,0.610000,0.713333,0.785000,0.942222,0.930000,0.961667,0.985000,0.973889,0.980000,0.198546,0.060510,0.259056,1.165976,0.206002,1.371978,1.840230,0.053567,1.893797,5.217484,0.465336,5.682820,1.371203,0.849439,2.220642,0.911987,0.295157,1.207144
