# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=MIXEDGenerator(balance_classes=False, classification_function=0, random_state=112), position=25000, random_state=None, stream=MIXEDGenerator(balance_classes=False, classification_function=1, random_state=112), width=1)
# [SamKnn] SAMKNN(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='DriftingMixed Generator_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[SamKnn],current_acc_[SamKnn],model_size_[SamKnn]
200,1.000000,1.000000,977448.190430
390,0.970000,0.970000,977519.096680
590,0.972500,0.975000,977598.866211
790,0.968333,0.960000,977639.081055
990,0.972500,0.985000,977719.327148
1190,0.971000,0.965000,977812.260742
1390,0.970833,0.970000,977898.354492
1590,0.972857,0.985000,977989.370117
1790,0.973125,0.975000,978067.776367
1990,0.973889,0.980000,978152.631836
2190,0.976500,1.000000,978241.077148
2390,0.977273,0.985000,978328.874023
2590,0.977917,0.985000,978410.647461
2790,0.978462,0.985000,978501.592773
2990,0.979643,0.995000,978590.014648
3190,0.980000,0.985000,978667.006836
3390,0.980313,0.985000,978762.874023
3590,0.980882,0.990000,978838.971680
3790,0.981111,0.985000,978922.674805
3990,0.981842,0.995000,979024.635742
4190,0.981500,0.975000,979094.674805
4390,0.981905,0.990000,979194.104492
4590,0.982045,0.985000,979275.323242
4790,0.982174,0.985000,979358.870117
4990,0.982917,1.000000,979448.487305
5190,0.983200,0.990000,979170.573242
5390,0.982885,0.975000,979276.741211
5590,0.983148,0.990000,979363.584961
5790,0.983214,0.985000,979437.811523
5990,0.983448,0.990000,979519.100586
6190,0.983833,0.995000,979295.127930
6390,0.984032,0.990000,979367.670898
6590,0.983906,0.980000,979469.647461
6790,0.984091,0.990000,979542.217773
6990,0.984118,0.985000,979642.811523
7190,0.984429,0.995000,979396.291992
7390,0.984583,0.990000,979471.311523
7590,0.984730,0.990000,979558.991211
7790,0.984868,0.990000,979666.420898
7990,0.985000,0.990000,979743.631836
8190,0.985000,0.985000,979503.495117
8390,0.985244,0.995000,979577.444336
8590,0.985476,0.995000,979656.858398
8790,0.985349,0.980000,979757.092773
8990,0.985341,0.985000,979835.428711
9190,0.985667,1.000000,979605.026367
9390,0.985870,0.995000,979685.311523
9590,0.986170,1.000000,979764.952148
9790,0.986354,0.995000,979869.420898
9990,0.986327,0.985000,979849.928711
10190,0.986300,0.985000,979924.389648
10390,0.986373,0.990000,979615.467773
10590,0.986442,0.990000,979700.319336
10790,0.986604,0.995000,979785.334961
10990,0.986759,0.995000,979885.967773
11190,0.986818,0.990000,979966.709961
11390,0.986964,0.995000,980046.971680
11590,0.986842,0.980000,980130.166992
11790,0.986724,0.980000,979911.565430
11990,0.986780,0.990000,979992.592773
12190,0.986917,0.995000,980063.108398
12390,0.986885,0.985000,980179.553711
12590,0.986855,0.985000,980267.764648
12790,0.986508,0.965000,980015.885742
12990,0.986406,0.980000,980093.999023
13190,0.986462,0.990000,980188.475586
13390,0.986591,0.995000,980257.077148
13590,0.986791,1.000000,980347.350586
13790,0.986912,0.995000,980104.573242
13990,0.986957,0.990000,980215.334961
14190,0.987071,0.995000,980308.866211
14390,0.987183,0.995000,980385.538086
14590,0.987361,1.000000,980477.475586
14790,0.987534,1.000000,980234.846680
14990,0.987365,0.975000,980311.108398
15190,0.987400,0.990000,980390.624023
15390,0.987368,0.985000,980457.038086
15590,0.987532,1.000000,980554.030273
15790,0.987500,0.985000,980358.666992
15990,0.987405,0.980000,980435.616211
16190,0.987375,0.985000,980515.694336
16390,0.987346,0.985000,980591.311523
16590,0.987317,0.985000,980667.217773
16790,0.987410,0.995000,980345.870117
16990,0.987262,0.975000,980421.053711
17190,0.987235,0.985000,980498.631836
17390,0.987209,0.985000,980573.702148
17590,0.987356,1.000000,980707.241211
17790,0.987330,0.985000,980794.889648
17990,0.987360,0.990000,980537.381836
18190,0.987278,0.980000,980623.975586
18390,0.987198,0.980000,980699.194336
18590,0.987228,0.990000,980781.385742
18790,0.987258,0.990000,980863.948242
18990,0.987340,0.995000,980943.135742
19190,0.987211,0.975000,980707.159180
19390,0.987292,0.995000,980787.639648
19590,0.987423,1.000000,980864.241211
19790,0.987347,0.980000,981009.905273
19990,0.987424,0.995000,981095.874023
20190,0.987550,1.000000,980851.846680
20390,0.987525,0.985000,980925.483398
20590,0.987500,0.985000,981006.577148
20790,0.987524,0.990000,981077.241211
20990,0.987452,0.980000,981160.920898
21190,0.987571,1.000000,980936.362305
21390,0.987642,0.995000,981008.225586
21590,0.987757,1.000000,981087.749023
21790,0.987870,1.000000,981160.217773
21990,0.987890,0.990000,981244.233398
22190,0.988000,1.000000,981004.166992
22390,0.988018,0.990000,981151.624023
22590,0.988080,0.995000,981245.584961
22790,0.988053,0.985000,981313.045898
22990,0.988070,0.990000,981390.209961
23190,0.988043,0.985000,981154.776367
23390,0.988103,0.995000,981228.733398
23590,0.988205,1.000000,981317.975586
23790,0.988220,0.990000,981392.928711
23990,0.988319,1.000000,981471.663086
24190,0.988375,0.995000,981231.237305
24390,0.988388,0.990000,981314.288086
24590,0.988484,1.000000,981385.030273
24790,0.988577,1.000000,981460.850586
24990,0.988629,0.995000,981554.538086
25190,0.980800,0.010000,981697.249023
25390,0.979167,0.775000,980876.045898
25590,0.979016,0.960000,980715.905273
25790,0.978945,0.970000,980646.834961
25990,0.978992,0.985000,980640.182617
26190,0.978885,0.965000,980662.541992
26390,0.978931,0.985000,980721.010742
26590,0.978977,0.985000,980780.206055
26790,0.979060,0.990000,980855.077148
26990,0.979104,0.985000,980919.272461
27190,0.979259,1.000000,980997.702148
27390,0.979301,0.985000,981072.342773
27590,0.979380,0.990000,981151.624023
27790,0.979420,0.985000,981224.178711
27990,0.979496,0.990000,981292.913086
28190,0.979571,0.990000,981458.827148
28390,0.979610,0.985000,981533.713867
28590,0.979683,0.990000,981615.760742
28790,0.979755,0.990000,981685.370117
28990,0.979896,1.000000,981758.510742
29190,0.979862,0.975000,981842.026367
29390,0.979897,0.985000,981912.877930
29590,0.979966,0.990000,981999.846680
29790,0.979966,0.980000,982071.151367
29990,0.980101,1.000000,982130.573242
30190,0.980167,0.990000,981844.026367
30390,0.980132,0.975000,981948.045898
30590,0.980197,0.990000,982025.014648
30790,0.980261,0.990000,982106.014648
30990,0.980325,0.990000,982183.022461
31190,0.980387,0.990000,981936.659180
31390,0.980449,0.990000,982013.624023
31590,0.980478,0.985000,982107.374023
31790,0.980538,0.990000,982271.272461
31990,0.980597,0.990000,982354.795898
32190,0.980719,1.000000,982112.057617
32390,0.980807,0.995000,982183.202148
32590,0.980895,0.995000,982262.311523
32790,0.980951,0.990000,982356.491211
32990,0.981006,0.990000,982435.366211
33190,0.981030,0.985000,982185.299805
33390,0.981114,0.995000,982264.522461
33590,0.981198,0.995000,982346.303711
33790,0.981220,0.985000,982424.225586
33990,0.981243,0.985000,982508.936523
34190,0.981324,0.995000,982273.956055
34390,0.981404,0.995000,982347.928711
34590,0.981512,1.000000,982435.241211
34790,0.981618,1.000000,982512.256836
34990,0.981638,0.985000,982589.709961
35190,0.981714,0.995000,982354.096680
35390,0.981705,0.980000,982423.272461
35590,0.981780,0.995000,982517.881836
35790,0.981854,0.995000,982700.866211
35990,0.981899,0.990000,982783.069336
36190,0.981972,0.995000,982536.995117
36390,0.982044,0.995000,982610.147461
36590,0.981978,0.970000,982685.553711
36790,0.981967,0.980000,982776.069336
36990,0.982011,0.990000,982856.983398
37190,0.982081,0.995000,982614.073242
37390,0.982124,0.990000,982686.163086
37590,0.982139,0.985000,982771.319336
37790,0.982154,0.985000,982850.764648
37990,0.982143,0.980000,982943.788086
38190,0.982184,0.990000,982698.846680
38390,0.982225,0.990000,982775.866211
38590,0.982318,1.000000,982856.405273
38790,0.982306,0.980000,982932.163086
38990,0.982371,0.995000,983009.053711
39190,0.982436,0.995000,982771.674805
39390,0.982500,0.995000,982855.920898
39590,0.982538,0.990000,982934.999023
39790,0.982601,0.995000,983016.327148
39990,0.982613,0.985000,983093.936523
40190,0.982650,0.990000,982969.565430
40390,0.982637,0.980000,983049.631836
40590,0.982723,1.000000,983131.155273
40790,0.982759,0.990000,983211.233398
40990,0.982721,0.975000,983292.084961
41190,0.982756,0.990000,983373.780273
41390,0.982791,0.990000,983130.713867
41590,0.982826,0.990000,983209.920898
41790,0.982885,0.995000,983297.686523
41990,0.982895,0.985000,983371.319336
42190,0.982976,1.000000,983454.834961
42390,0.982962,0.980000,983213.104492
42590,0.983042,1.000000,983283.506836
42790,0.983075,0.990000,983360.983398
42990,0.983107,0.990000,983441.100586
43190,0.983140,0.990000,983537.256836
43390,0.983148,0.985000,983291.065430
43590,0.983203,0.995000,983369.264648
43790,0.983234,0.990000,983444.733398
43990,0.983288,0.995000,983523.045898
44190,0.983273,0.980000,983608.108398
44390,0.983348,1.000000,983363.010742
44590,0.983423,1.000000,983451.999023
44790,0.983453,0.990000,983530.624023
44990,0.983504,0.995000,983607.374023
45190,0.983578,1.000000,983824.756836
45390,0.983606,0.990000,983582.854492
45590,0.983612,0.985000,983660.436523
45790,0.983640,0.990000,983747.045898
45990,0.983646,0.985000,983819.553711
46190,0.983717,1.000000,983904.741211
46390,0.983766,0.995000,983663.424805
46590,0.983815,0.995000,983737.069336
46790,0.983884,1.000000,983817.249023
46990,0.983910,0.990000,983900.124023
47190,0.983979,1.000000,983982.491211
47390,0.984004,0.990000,983744.495117
47590,0.984051,0.995000,983820.256836
47790,0.984055,0.985000,983898.452148
47990,0.984079,0.990000,983973.256836
48190,0.984083,0.985000,984060.249023
48390,0.984129,0.995000,983827.190430
48590,0.984194,1.000000,983900.928711
48790,0.984239,0.995000,983986.022461
48990,0.984303,1.000000,984055.545898
49190,0.984327,0.990000,984132.530273
49390,0.984350,0.990000,983897.135742
49590,0.984393,0.995000,983983.475586
49790,0.984456,1.000000,984060.670898
49990,0.984498,0.995000,984137.811523
