# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] -
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 -
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7ffb1f743208> - n_estimators: 10
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'model_size']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],model_size_[hat],model_size_[rslvq],model_size_[arslvq],model_size_[adf],model_size_[oza]
200,0.700000,0.700000,0.300000,0.300000,0.600000,0.600000,1.000000,1.000000,0.500000,0.500000,17.437500,3.756836,43.966797,557.037109,282.516602
390,0.865000,0.865000,0.545000,0.545000,0.630000,0.630000,0.935000,0.935000,0.870000,0.870000,18.007812,3.756836,57.775391,729.634766,808.782227
590,0.870000,0.875000,0.570000,0.595000,0.612500,0.595000,0.920000,0.905000,0.920000,0.970000,18.007812,3.756836,57.775391,933.474609,1346.344727
790,0.881667,0.905000,0.558333,0.535000,0.655000,0.740000,0.920000,0.920000,0.931667,0.955000,18.492188,3.756836,57.775391,1125.052734,1933.512695
990,0.890000,0.915000,0.566250,0.590000,0.652500,0.645000,0.927500,0.950000,0.945000,0.985000,18.492188,3.756836,57.775391,1271.189453,2390.012695
1190,0.891000,0.895000,0.569000,0.580000,0.662000,0.700000,0.920000,0.890000,0.948000,0.960000,18.492188,3.756836,57.775391,1441.693359,2721.672852
1390,0.895000,0.915000,0.568333,0.565000,0.680833,0.775000,0.922500,0.935000,0.951667,0.970000,18.976562,3.756836,57.775391,1452.869141,2862.485352
1590,0.896429,0.905000,0.565000,0.545000,0.692143,0.760000,0.927143,0.955000,0.954286,0.970000,18.976562,3.756836,57.775391,1440.666016,2867.782227
1790,0.895625,0.890000,0.565000,0.565000,0.704375,0.790000,0.932500,0.970000,0.956875,0.975000,18.976562,3.756836,57.775391,1593.505859,2862.247070
1990,0.895000,0.890000,0.561667,0.535000,0.713333,0.785000,0.932778,0.935000,0.960000,0.985000,18.976562,3.756836,57.775391,1707.880859,2870.653320
2190,0.815000,0.095000,0.550000,0.445000,0.715000,0.730000,0.895000,0.555000,0.868500,0.045000,18.976562,3.756836,53.779297,795.806641,2858.922852
2390,0.745000,0.045000,0.541364,0.455000,0.724091,0.815000,0.891364,0.855000,0.806818,0.190000,18.976562,3.756836,58.021484,900.427734,2863.813477
2590,0.690000,0.085000,0.530000,0.405000,0.732083,0.820000,0.889167,0.865000,0.786667,0.565000,19.460938,3.756836,58.021484,775.142578,2863.215820
2790,0.642692,0.075000,0.525000,0.465000,0.739231,0.825000,0.891538,0.920000,0.785000,0.765000,19.460938,3.756836,58.021484,933.005859,2309.235352
2990,0.600714,0.055000,0.516786,0.410000,0.751786,0.915000,0.893571,0.920000,0.798929,0.980000,19.460938,3.756836,58.021484,1124.611328,2412.333008
3190,0.621667,0.915000,0.520667,0.575000,0.712333,0.160000,0.875000,0.615000,0.756667,0.165000,19.460938,3.756836,48.072266,876.185547,2013.856445
3390,0.641250,0.935000,0.521250,0.530000,0.718125,0.805000,0.875938,0.890000,0.729375,0.320000,19.460938,3.756836,49.474609,1090.818359,2204.899414
3590,0.654118,0.860000,0.520294,0.505000,0.727941,0.885000,0.877941,0.910000,0.728824,0.720000,33.514648,3.756836,58.263672,1118.017578,2373.165039
3790,0.669167,0.925000,0.522222,0.555000,0.737500,0.900000,0.880833,0.930000,0.739167,0.915000,35.022461,3.756836,58.263672,1304.564453,2585.727539
3990,0.682632,0.925000,0.523947,0.555000,0.746579,0.910000,0.883947,0.940000,0.750526,0.955000,35.077148,3.756836,58.263672,1325.291016,2743.606445
4190,0.654500,0.120000,0.518750,0.420000,0.716500,0.145000,0.865750,0.520000,0.722750,0.195000,36.565430,3.756836,58.263672,765.927734,2386.516602
4390,0.628571,0.110000,0.514524,0.430000,0.690000,0.160000,0.866190,0.875000,0.703333,0.315000,36.620117,3.756836,58.263672,820.064453,2486.547852
4590,0.615000,0.330000,0.512500,0.470000,0.670227,0.255000,0.866591,0.875000,0.701591,0.665000,36.620117,3.756836,58.263672,926.369141,2623.333008
4790,0.619783,0.725000,0.508913,0.430000,0.653913,0.295000,0.868043,0.900000,0.706957,0.825000,38.018555,3.756836,58.263672,1141.869141,2548.411133
4990,0.625000,0.745000,0.507083,0.465000,0.657708,0.745000,0.869792,0.910000,0.717917,0.970000,38.018555,3.756836,58.263672,1340.181641,2370.864258
5190,0.609600,0.240000,0.509400,0.565000,0.641800,0.260000,0.860200,0.630000,0.694800,0.140000,38.073242,3.756836,58.263672,1486.732422,2483.133789
5390,0.608654,0.585000,0.511154,0.555000,0.645000,0.725000,0.862692,0.925000,0.680385,0.320000,38.018555,3.756836,58.263672,892.236328,2593.778320
5590,0.614815,0.775000,0.512778,0.555000,0.651481,0.820000,0.864815,0.920000,0.676296,0.570000,38.018555,3.756836,58.263672,1039.919922,2717.415039
5790,0.619821,0.755000,0.514464,0.560000,0.660536,0.905000,0.866607,0.915000,0.681786,0.830000,38.073242,3.756836,58.263672,1059.982422,2795.512695
5990,0.623276,0.720000,0.516379,0.570000,0.667586,0.865000,0.868103,0.910000,0.686897,0.830000,39.014648,3.756836,58.263672,1079.361328,2582.489258
