# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [SamKnn] SAMKNN(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='Mixed Generator_Mixed ' 'Generator_1000_100_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[SamKnn],current_acc_[SamKnn],model_size_[SamKnn]
200,1.000000,1.000000,977447.127930
390,0.970000,0.970000,977517.502930
590,0.972500,0.975000,977597.803711
790,0.968333,0.960000,977639.612305
990,0.972500,0.985000,977724.577148
1190,0.971000,0.965000,977813.854492
1390,0.970833,0.970000,977896.760742
1590,0.972857,0.985000,977984.120117
1790,0.973125,0.975000,978066.713867
1990,0.973333,0.975000,978148.975586
2190,0.887000,0.110000,977971.061523
2390,0.895000,0.975000,977837.108398
2590,0.900417,0.960000,977821.307617
2790,0.905385,0.965000,977881.659180
2990,0.911071,0.985000,977962.741211
3190,0.883333,0.495000,977803.827148
3390,0.888125,0.960000,977797.741211
3590,0.892353,0.960000,977865.963867
3790,0.896667,0.970000,977947.202148
3990,0.900263,0.965000,978024.471680
4190,0.864750,0.190000,977945.916992
4390,0.868810,0.950000,977899.104492
4590,0.872273,0.945000,977953.651367
4790,0.876522,0.970000,978037.459961
4990,0.880833,0.980000,978112.385742
5190,0.859800,0.355000,977977.706055
5390,0.862692,0.935000,977967.647461
5590,0.866481,0.965000,978010.565430
5790,0.870000,0.965000,978085.346680
5990,0.873448,0.970000,978158.362305
6190,0.862500,0.545000,978026.561523
6390,0.865645,0.960000,978028.670898
6590,0.868594,0.960000,978098.038086
6790,0.871667,0.970000,978172.573242
6990,0.874559,0.970000,978262.639648
7190,0.861143,0.405000,978141.342773
7390,0.863750,0.955000,978116.694336
7590,0.866892,0.980000,978183.721680
7790,0.869737,0.975000,978279.877930
7990,0.872564,0.980000,978359.678711
8190,0.859125,0.335000,978219.327148
8390,0.860976,0.935000,978194.569336
8590,0.863452,0.965000,978235.209961
8790,0.865814,0.965000,978340.190430
8990,0.868182,0.970000,978404.526367
9190,0.859333,0.470000,978291.600586
9390,0.861413,0.955000,978276.018555
9590,0.863936,0.980000,978343.717773
9790,0.866042,0.965000,978447.670898
9990,0.868061,0.965000,978521.182617
10190,0.858300,0.380000,978394.854492
10390,0.860098,0.950000,978363.588867
10590,0.862404,0.980000,978426.874023
10790,0.864528,0.975000,978504.288086
10990,0.866667,0.980000,978614.284180
