# TEST CONFIGURATION BEGIN
# ConceptDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 5000 - width: 1 -
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] -
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 -
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7fadd74ce7f0> - n_estimators: 10
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'model_size']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],model_size_[hat],model_size_[rslvq],model_size_[arslvq],model_size_[adf],model_size_[oza]
200,0.700000,0.700000,0.500000,0.500000,0.600000,0.600000,0.900000,0.900000,0.500000,0.500000,17.437500,3.756836,43.966797,586.341797,475.786133
390,0.865000,0.865000,0.695000,0.695000,0.630000,0.630000,0.930000,0.930000,0.915000,0.915000,18.007812,3.756836,57.775391,831.560547,1106.973633
590,0.870000,0.875000,0.700000,0.705000,0.612500,0.595000,0.927500,0.925000,0.945000,0.975000,18.007812,3.756836,57.775391,994.060547,1696.774414
790,0.881667,0.905000,0.703333,0.710000,0.655000,0.740000,0.931667,0.940000,0.950000,0.960000,18.492188,3.756836,57.775391,1170.986328,2251.723633
990,0.890000,0.915000,0.701250,0.695000,0.652500,0.645000,0.942500,0.975000,0.957500,0.980000,18.492188,3.756836,57.775391,1301.423828,2643.254883
1190,0.891000,0.895000,0.696000,0.675000,0.662000,0.700000,0.942000,0.940000,0.957000,0.955000,18.492188,3.756836,57.775391,1476.599609,2856.399414
1390,0.895000,0.915000,0.698333,0.710000,0.680833,0.775000,0.943333,0.950000,0.959167,0.970000,18.976562,3.756836,57.775391,1611.138672,2867.540039
1590,0.896429,0.905000,0.695714,0.680000,0.692143,0.760000,0.946429,0.965000,0.960714,0.970000,18.976562,3.756836,57.775391,1611.080078,2867.008789
1790,0.895625,0.890000,0.698750,0.720000,0.704375,0.790000,0.948125,0.960000,0.962500,0.975000,18.976562,3.756836,57.775391,1758.697266,2875.286133
1990,0.895000,0.890000,0.697222,0.685000,0.713333,0.785000,0.950000,0.965000,0.965000,0.985000,18.976562,3.756836,57.775391,1866.185547,2870.477539
2190,0.898000,0.925000,0.698000,0.705000,0.725000,0.830000,0.952500,0.975000,0.966500,0.980000,18.976562,3.756836,57.775391,1976.267578,2865.008789
2390,0.900000,0.920000,0.696818,0.685000,0.731364,0.795000,0.954091,0.970000,0.968182,0.985000,18.976562,3.756836,51.677734,2079.759766,2865.731445
2590,0.902917,0.935000,0.687500,0.585000,0.741250,0.850000,0.956667,0.985000,0.968333,0.970000,19.460938,3.756836,58.021484,2192.501953,2872.477539
2790,0.905769,0.940000,0.692692,0.755000,0.752692,0.890000,0.957308,0.965000,0.968846,0.975000,19.460938,3.756836,58.021484,2280.513672,2879.735352
2990,0.907500,0.930000,0.694643,0.720000,0.763214,0.900000,0.956429,0.945000,0.968929,0.970000,19.460938,3.756836,58.021484,2365.666016,2872.391602
3190,0.910333,0.950000,0.696333,0.720000,0.774667,0.935000,0.957667,0.975000,0.969000,0.970000,19.460938,3.756836,58.021484,2229.158203,2867.606445
3390,0.911250,0.925000,0.697187,0.710000,0.784062,0.925000,0.958125,0.965000,0.968437,0.960000,19.460938,3.756836,58.021484,2325.548828,2869.700195
3590,0.910294,0.895000,0.699412,0.735000,0.791765,0.915000,0.959706,0.985000,0.968824,0.975000,33.432617,3.756836,58.021484,2406.001953,2872.415039
3790,0.910000,0.905000,0.699722,0.705000,0.798611,0.915000,0.959444,0.955000,0.968611,0.965000,34.967773,3.756836,58.021484,2531.833984,2887.418945
3990,0.907105,0.855000,0.699474,0.695000,0.804211,0.905000,0.959737,0.965000,0.968947,0.975000,33.456055,3.756836,58.021484,2637.072266,2877.856445
4190,0.906500,0.895000,0.699500,0.700000,0.810750,0.935000,0.961500,0.995000,0.969750,0.985000,34.963867,3.756836,58.021484,2726.060547,2873.012695
4390,0.901429,0.800000,0.699524,0.700000,0.812619,0.850000,0.962381,0.980000,0.970238,0.980000,32.518555,3.756836,58.021484,2867.009766,2878.016602
4590,0.899091,0.850000,0.698636,0.680000,0.816818,0.905000,0.962955,0.975000,0.971136,0.990000,34.510742,3.756836,58.021484,2948.146484,2872.641602
4790,0.897391,0.860000,0.698043,0.685000,0.820217,0.895000,0.962826,0.960000,0.971522,0.980000,32.061523,3.756836,58.021484,3089.083984,2872.829102
