# TEST CONFIGURATION BEGIN
# ConceptDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 25000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 - 
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7f469a1c5780> - n_estimators: 10
# [samknn] avg. STMSize nan LTMSize nan; num correct STM 0 LTM 0 CM 0 ; num correct 0/0

# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'running_time']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[arslvq],testing_time_[arslvq],total_running_time_[arslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
200,0.700000,0.700000,0.900000,0.900000,0.600000,0.600000,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.014686,0.000369,0.015056,0.109003,0.001670,0.110674,0.105841,0.000290,0.106132,0.619263,0.002700,0.621963,0.052409,0.000877,0.053286,0.019987,0.000263,0.020250
390,0.865000,0.865000,0.775000,0.775000,0.630000,0.630000,0.940000,0.940000,0.930000,0.930000,0.970000,0.970000,0.034152,0.006822,0.040974,0.221546,0.023548,0.245094,0.257282,0.006049,0.263331,1.107191,0.054654,1.161844,0.150390,0.053586,0.203975,0.055803,0.005578,0.061381
590,0.870000,0.875000,0.770000,0.765000,0.612500,0.595000,0.920000,0.900000,0.957500,0.985000,0.972500,0.975000,0.054722,0.013728,0.068449,0.339825,0.046208,0.386033,0.457108,0.012189,0.469297,1.611108,0.108864,1.719972,0.268417,0.123563,0.391981,0.106827,0.011605,0.118432
790,0.881667,0.905000,0.771667,0.775000,0.686667,0.835000,0.921667,0.925000,0.958333,0.960000,0.968333,0.960000,0.076122,0.020588,0.096710,0.457934,0.069262,0.527196,0.636924,0.018371,0.655295,2.125502,0.162697,2.288199,0.403226,0.209726,0.612952,0.194884,0.021758,0.216642
990,0.890000,0.915000,0.760000,0.725000,0.708750,0.775000,0.932500,0.965000,0.963750,0.980000,0.972500,0.985000,0.097388,0.027473,0.124860,0.576041,0.094108,0.670149,0.826006,0.024429,0.850435,2.657176,0.216222,2.873398,0.564256,0.313247,0.877503,0.289616,0.051110,0.340726
1190,0.891000,0.895000,0.759000,0.755000,0.711000,0.720000,0.930000,0.920000,0.962000,0.955000,0.971000,0.965000,0.118639,0.034267,0.152907,0.693861,0.116826,0.810687,1.026114,0.030592,1.056706,3.229834,0.269690,3.499524,0.737232,0.424215,1.161447,0.387777,0.086823,0.474600
1390,0.895000,0.915000,0.763333,0.785000,0.720833,0.770000,0.930000,0.930000,0.964167,0.975000,0.970833,0.970000,0.139714,0.041019,0.180733,0.812483,0.139776,0.952259,1.225312,0.036896,1.262209,3.807899,0.321714,4.129613,0.912408,0.539869,1.452277,0.500351,0.128611,0.628962
1590,0.896429,0.905000,0.764286,0.770000,0.735714,0.825000,0.931429,0.940000,0.964286,0.965000,0.972857,0.985000,0.161609,0.047775,0.209384,0.930663,0.162828,1.093491,1.425048,0.043047,1.468095,4.367524,0.374192,4.741716,1.101016,0.659950,1.760965,0.623560,0.177021,0.800581
1790,0.895625,0.890000,0.761875,0.745000,0.751875,0.865000,0.932500,0.940000,0.965625,0.975000,0.973125,0.975000,0.182897,0.054598,0.237496,1.048609,0.186160,1.234770,1.623724,0.049102,1.672826,4.909645,0.426823,5.336468,1.288967,0.781296,2.070263,0.756898,0.231696,0.988593
1990,0.895000,0.890000,0.761667,0.760000,0.763889,0.860000,0.933889,0.945000,0.967778,0.985000,0.973889,0.980000,0.204219,0.061351,0.265571,1.166541,0.208815,1.375356,1.822264,0.055196,1.877461,5.445105,0.480372,5.925476,1.474470,0.903413,2.377883,0.905321,0.292137,1.197458
