0,1,2,3,4,5,6
Hyperplane Generator,30.0,0.9,9.0,2.0,0.0001,0.6207551510302061
results_full\Mixed Generator_Mixed Generator_1000_1,10.0,0.9900000000000002,7.0,2.0,0.01,0.7793998799759951
results_full\Mixed Generator_Mixed Generator_1000_1000,10.0,0.9900000000000002,9.0,7.0,0.01,0.779008801760352
mixed_a,30.0,0.9900000000000002,1.0,9.0,0.0001,0.8929685937187437
mixed_g,30.0,0.9900000000000002,1.0,9.0,0.0001,0.8937537507501501
rand_tree,30.0,0.9,5.0,5.0,0.0001,0.8075335067013402
rbf_if,30.0,0.9900000000000002,1.0,1.0,0.0001,0.6648439687937587
rbf_im,30.0,0.9900000000000002,2.0,1.0,0.0001,0.6796909381876375
SEA Generator_SEA Generator_1000_1,30.0,0.9900000000000002,1.0,5.0,0.0001,0.7812452490498099
SEA Generator_SEA Generator_1000_1000,30.0,0.9900000000000002,1.0,7.0,0.0001,0.8016623324664933
sea_a,30.0,0.9900000000000002,1.0,9.0,0.0001,0.7699179835967194
sea_g,30.0,0.9900000000000002,7.0,1.0,0.0001,0.8228015603120625
mean,,,,,,
0.7744651430286057,,,,,,
