,sigma,prototypes_per_class,accuracy,kappa_t,kappa_m,kappa
0,2,2,0.539,-0.985,0.073,0.078
1,2,4,0.55,-0.937,0.095,0.1
2,2,6,0.551,-0.935,0.096,0.102
3,2,8,0.551,-0.933,0.097,0.102
4,4,2,0.546,-0.953,0.088,0.093
5,4,4,0.551,-0.934,0.097,0.102
6,4,6,0.552,-0.931,0.098,0.103
7,4,8,0.552,-0.929,0.099,0.104
8,6,2,0.552,-0.931,0.098,0.103
9,6,4,0.55,-0.94,0.094,0.099
10,6,6,0.552,-0.929,0.099,0.104
11,6,8,0.552,-0.93,0.098,0.103
12,8,2,0.55,-0.939,0.094,0.099
13,8,4,0.552,-0.929,0.099,0.104
14,8,6,0.552,-0.93,0.098,0.103
15,8,8,0.551,-0.933,0.097,0.102
16,10,2,0.552,-0.93,0.099,0.104
17,10,4,0.553,-0.924,0.102,0.107
18,10,6,0.552,-0.931,0.098,0.103
19,10,8,0.552,-0.93,0.099,0.104
20,12,2,0.551,-0.935,0.096,0.101
21,12,4,0.554,-0.919,0.104,0.109
22,12,6,0.554,-0.921,0.103,0.108
23,12,8,0.552,-0.928,0.1,0.105
24,14,2,0.552,-0.928,0.1,0.105
25,14,4,0.552,-0.931,0.098,0.103
26,14,6,0.55,-0.936,0.096,0.101
27,14,8,0.553,-0.925,0.101,0.106
28,16,2,0.552,-0.929,0.099,0.104
29,16,4,0.551,-0.935,0.096,0.101
30,16,6,0.552,-0.929,0.099,0.104
31,16,8,0.552,-0.927,0.1,0.105
32,18,2,0.552,-0.928,0.099,0.104
33,18,4,0.553,-0.927,0.1,0.105
34,18,6,0.55,-0.938,0.095,0.1
35,18,8,0.551,-0.932,0.098,0.103
36,20,2,0.553,-0.926,0.1,0.106
37,20,4,0.552,-0.928,0.1,0.105
38,20,6,0.553,-0.924,0.101,0.106
39,20,8,0.553,-0.924,0.101,0.106
