,sigma,prototypes_per_class,accuracy,kappa_t,kappa_m,kappa
0,2,2,0.767,0.533,0.53,0.533
1,2,4,0.794,0.588,0.562,0.586
2,2,6,0.791,0.583,0.559,0.582
3,2,8,0.794,0.585,0.559,0.588
4,4,2,0.789,0.577,0.603,0.575
5,4,4,0.792,0.58,0.61,0.582
6,4,6,0.792,0.584,0.555,0.583
7,4,8,0.791,0.58,0.605,0.581
8,6,2,0.79,0.582,0.549,0.579
9,6,4,0.793,0.584,0.613,0.586
10,6,6,0.791,0.578,0.61,0.582
11,6,8,0.793,0.586,0.61,0.586
12,8,2,0.79,0.581,0.55,0.578
13,8,4,0.791,0.583,0.558,0.582
14,8,6,0.793,0.584,0.56,0.586
15,8,8,0.79,0.578,0.603,0.579
16,10,2,0.789,0.578,0.601,0.576
17,10,4,0.786,0.57,0.545,0.572
18,10,6,0.79,0.58,0.606,0.581
19,10,8,0.791,0.58,0.549,0.581
20,12,2,0.79,0.575,0.55,0.579
21,12,4,0.793,0.586,0.558,0.585
22,12,6,0.791,0.58,0.55,0.581
23,12,8,0.791,0.58,0.553,0.583
24,14,2,0.791,0.578,0.552,0.581
25,14,4,0.794,0.587,0.613,0.587
26,14,6,0.795,0.585,0.614,0.589
27,14,8,0.79,0.583,0.604,0.581
28,16,2,0.79,0.579,0.553,0.581
29,16,4,0.793,0.587,0.612,0.587
30,16,6,0.79,0.581,0.553,0.58
31,16,8,0.792,0.582,0.557,0.585
32,18,2,0.787,0.572,0.599,0.574
33,18,4,0.79,0.581,0.55,0.579
34,18,6,0.786,0.568,0.602,0.572
35,18,8,0.789,0.579,0.605,0.579
36,20,2,0.792,0.583,0.605,0.583
37,20,4,0.791,0.578,0.604,0.582
38,20,6,0.789,0.576,0.551,0.578
39,20,8,0.791,0.582,0.553,0.583
