,sigma,prototypes_per_class,accuracy,kappa_t,kappa_m,kappa
0,2,2,0.862,0.695,0.784,0.712
1,2,4,0.823,0.594,0.741,0.634
2,2,6,0.818,0.584,0.732,0.628
3,2,8,0.815,0.572,0.419,0.622
4,4,2,0.851,0.661,0.78,0.686
5,4,4,0.825,0.591,0.744,0.639
6,4,6,0.819,0.58,0.733,0.629
7,4,8,0.812,0.568,0.41,0.618
8,6,2,0.838,0.626,0.762,0.662
9,6,4,0.814,0.573,0.727,0.622
10,6,6,0.813,0.571,0.725,0.619
11,6,8,0.807,0.554,0.398,0.608
12,8,2,0.829,0.609,0.749,0.648
13,8,4,0.812,0.567,0.419,0.618
14,8,6,0.805,0.551,0.713,0.605
15,8,8,0.8,0.539,0.707,0.597
16,10,2,0.821,0.583,0.737,0.633
17,10,4,0.808,0.562,0.405,0.611
18,10,6,0.802,0.543,0.382,0.601
19,10,8,0.797,0.532,0.703,0.591
20,12,2,0.817,0.582,0.73,0.625
21,12,4,0.805,0.553,0.398,0.607
22,12,6,0.801,0.543,0.378,0.598
23,12,8,0.805,0.547,0.712,0.604
24,14,2,0.813,0.569,0.725,0.619
25,14,4,0.804,0.55,0.712,0.603
26,14,6,0.801,0.546,0.707,0.599
27,14,8,0.801,0.538,0.708,0.599
28,16,2,0.808,0.558,0.396,0.609
29,16,4,0.803,0.544,0.712,0.602
30,16,6,0.8,0.545,0.706,0.598
31,16,8,0.801,0.543,0.707,0.599
32,18,2,0.808,0.558,0.401,0.612
33,18,4,0.802,0.542,0.382,0.6
34,18,6,0.798,0.534,0.703,0.593
35,18,8,0.797,0.535,0.702,0.592
36,20,2,0.806,0.559,0.715,0.608
37,20,4,0.8,0.538,0.707,0.597
38,20,6,0.803,0.55,0.39,0.603
39,20,8,0.801,0.541,0.709,0.598
