,sigma,prototypes_per_class,accuracy,kappa_t,kappa_m,kappa
0,2,2,0.78,0.55,0.559,0.56
1,2,4,0.851,0.698,0.676,0.7
2,2,6,0.87,0.736,0.717,0.739
3,2,8,0.879,0.753,0.736,0.757
4,4,2,0.84,0.675,0.652,0.677
5,4,4,0.878,0.752,0.734,0.756
6,4,6,0.88,0.756,0.738,0.759
7,4,8,0.883,0.762,0.745,0.766
8,6,2,0.865,0.726,0.706,0.729
9,6,4,0.879,0.754,0.736,0.758
10,6,6,0.881,0.757,0.74,0.761
11,6,8,0.882,0.76,0.742,0.763
12,8,2,0.878,0.751,0.733,0.754
13,8,4,0.883,0.763,0.745,0.766
14,8,6,0.881,0.757,0.739,0.761
15,8,8,0.878,0.751,0.733,0.755
16,10,2,0.878,0.752,0.734,0.755
17,10,4,0.884,0.764,0.747,0.768
18,10,6,0.883,0.762,0.745,0.765
19,10,8,0.879,0.755,0.737,0.759
20,12,2,0.879,0.755,0.737,0.759
21,12,4,0.883,0.761,0.744,0.765
22,12,6,0.881,0.758,0.741,0.762
23,12,8,0.881,0.758,0.741,0.762
24,14,2,0.881,0.758,0.741,0.762
25,14,4,0.881,0.757,0.74,0.761
26,14,6,0.882,0.759,0.742,0.763
27,14,8,0.88,0.756,0.738,0.76
28,16,2,0.883,0.763,0.746,0.767
29,16,4,0.886,0.768,0.751,0.771
30,16,6,0.882,0.76,0.743,0.764
31,16,8,0.883,0.763,0.746,0.767
32,18,2,0.88,0.757,0.739,0.761
33,18,4,0.881,0.759,0.741,0.763
34,18,6,0.884,0.763,0.746,0.767
35,18,8,0.881,0.759,0.741,0.763
36,20,2,0.883,0.761,0.744,0.765
37,20,4,0.88,0.756,0.738,0.76
38,20,6,0.88,0.757,0.739,0.761
39,20,8,0.881,0.757,0.74,0.761
