,sigma,prototypes_per_class,accuracy,kappa_t,kappa_m,kappa
0,2,2,0.84,0.528,0.509,0.641
1,2,4,0.807,0.011,-0.754,0.338
2,2,6,0.773,-0.169,-1.074,0.319
3,2,8,0.74,-0.323,-1.336,0.295
4,4,2,0.811,0.032,-0.722,0.272
5,4,4,0.748,-0.281,-1.265,0.277
6,4,6,0.709,-0.51,-1.692,0.247
7,4,8,0.693,-0.537,0.654,0.257
8,6,2,0.779,-0.122,0.751,0.264
9,6,4,0.709,-0.433,-1.544,0.268
10,6,6,0.692,-0.543,-1.737,0.26
11,6,8,0.672,-0.66,-1.949,0.238
12,8,2,0.754,-0.256,0.724,0.273
13,8,4,0.696,-0.521,-1.671,0.256
14,8,6,0.666,-0.709,-2.044,0.233
15,8,8,0.659,-0.741,-2.08,0.226
16,10,2,0.73,-0.381,-1.454,0.254
17,10,4,0.673,-0.681,-1.983,0.234
18,10,6,0.664,-0.698,-1.998,0.238
19,10,8,0.659,-0.734,-2.102,0.227
20,12,2,0.714,-0.426,-1.533,0.264
21,12,4,0.663,-0.71,-2.028,0.235
22,12,6,0.653,-0.744,-2.114,0.224
23,12,8,0.66,-0.714,-2.041,0.233
24,14,2,0.703,-0.49,-1.664,0.256
25,14,4,0.664,-0.709,-2.048,0.231
26,14,6,0.653,-0.761,-2.138,0.227
27,14,8,0.656,-0.729,-2.088,0.234
28,16,2,0.689,-0.594,-1.83,0.245
29,16,4,0.654,-0.732,-2.082,0.224
30,16,6,0.657,-0.729,0.614,0.223
31,16,8,0.658,-0.701,-2.022,0.233
32,18,2,0.687,-0.572,-1.78,0.246
33,18,4,0.665,-0.682,-2.011,0.235
34,18,6,0.644,-0.792,0.6,0.218
35,18,8,0.646,-0.778,0.602,0.217
36,20,2,0.677,-0.643,-1.945,0.24
37,20,4,0.652,-0.752,-2.117,0.223
38,20,6,0.657,-0.699,-2.023,0.234
39,20,8,0.649,-0.781,-2.171,0.22
